version,fixed_size,row_count,row_width,var_offset,var_size
3.11.2b,18060,645,28,18064,21368
3.12.0,19152,684,28,19156,22720
3.13.0,19628,701,28,19632,23268
3.14.0,20076,717,28,20080,23782
3.15.0,20972,749,28,20976,25780
3.15.3,21000,750,28,21004,25832
3.16.0,21224,758,28,21228,26292
3.17.0,27496,982,28,27500,34372
3.18.0,28028,1001,28,28032,35000
3.18.0d,28056,1002,28,28060,35030
3.18.0e,28084,1003,28,28088,35060
3.19.0,28392,1014,28,28396,35616
3.20.0,29400,1050,28,29404,37400
3.20.1,29428,1051,28,29432,37434
3.21.0,29764,1063,28,29768,37892
3.21.1,29792,1064,28,29796,38024
3.22.1.2,29932,1069,28,29936,38180
3.23.0.1.3,30604,1093,28,30608,39466
3.23.1.1,30632,1094,28,30636,39492
